[ 2026-01-12 22:39:54,956 ] 17 root - INFO - Initiate the data ingestion
[ 2026-01-12 22:39:55,282 ] 96 pymongo.serverSelection - INFO - {"message": "Waiting for suitable server to become available", "selector": "Primary()", "operation": "find", "topologyDescription": "<TopologyDescription id: 69652ae3dcda0ea79f1c61dd, topology_type: ReplicaSetNoPrimary, servers: [<ServerDescription ('ac-xoxlzft-shard-00-00.4eur1cm.mongodb.net', 27017) server_type: Unknown, rtt: None>, <ServerDescription ('ac-xoxlzft-shard-00-01.4eur1cm.mongodb.net', 27017) server_type: Unknown, rtt: None>, <ServerDescription ('ac-xoxlzft-shard-00-02.4eur1cm.mongodb.net', 27017) server_type: Unknown, rtt: None>]>", "clientId": {"$oid": "69652ae3dcda0ea79f1c61dd"}, "remainingTimeMS": 30}
[ 2026-01-12 22:40:07,265 ] 65 root - INFO - Performed train test split on the dataframe
[ 2026-01-12 22:40:07,265 ] 67 root - INFO - Exited split_data_as_train_test method of Data_Ingestion class
[ 2026-01-12 22:40:07,265 ] 75 root - INFO - Exporting train and test file path.
[ 2026-01-12 22:40:07,299 ] 84 root - INFO - Exported train and test file path.
[ 2026-01-12 22:40:07,299 ] 19 root - INFO - Data Initiation Completed
[ 2026-01-12 22:40:07,299 ] 23 root - INFO - Initiate the data Validation
[ 2026-01-12 22:40:07,312 ] 32 root - INFO - Required number of columns:2
[ 2026-01-12 22:40:07,312 ] 33 root - INFO - Data frame has columns:31
[ 2026-01-12 22:40:07,312 ] 32 root - INFO - Required number of columns:2
[ 2026-01-12 22:40:07,312 ] 33 root - INFO - Data frame has columns:31
[ 2026-01-12 22:40:07,415 ] 25 root - INFO - data Validation Completed
